id,telephone,email,billing_street,billing_street_number,billing_city,Country,zip,company_name
A,922-572-9785,cbubbear0@geocities.com,1st,2216,Ijuí,Brazil,98700-000,Realcube
B,921-963-1237,meveling1@bbb.org,Mcguire,4,Botigues,Philippines,3204,Photospace
C,100-361-6237,fmerrgen2@psu.edu,Russell,01,Bonanza,Nicaragua,5555,Yodo
D,533-624-8593,tyerrall3@slate.com,Spaight,05433,Katsuyama,Japan,905-0002,Voolith
E,468-866-6413,barmell4@wsj.com,Logan,8330,Pandean,Indonesia,666,Flashdog
F,240-495-3756,iwilshin5@ask.com,Nelson,6025,Sarany,Russia,659434,Devpulse
G,360-421-5981,wrudeyeard6@angelfire.com,Meadow Vale,380,Shilong,China,9999,Skippad
H,666-680-8661,emeneur7@cnn.com,Arapahoe,95769,Machachi,Ecuador,999,Ooba
I,827-364-0644,dhatrey8@aol.com,Ramsey,59,Tangtuzhui,China,444,Trunyx
J,861-904-5328,npolycote9@xrea.com,Hovde,4,Chervonoarmiys’k,Ukraine,333,Aimbu
K,000-000-0000,ireadiea@intel.com,Fairfield,4953,Kotel’niki,Russia,140093,Wordify
L,168-748-5349,hlawb@homestead.com,Sachtjen,5,Tiedonglu,China,333,Livefish
